"Method","Seed","Step","Accuracy","LMLoss","Exact"
"gated","2","6250","0.446975320577621","1.38590478897095","0"
"gated","2","7500","0.454444468021393","1.3710173368454","0"
"gated","2","8750","0.453950583934784","1.36249780654907","0"
"gated","2","10000","0.454382747411728","1.35599136352539","0"
"gated","3","1250","0.422222256660461","1.47133636474609","0"
"gated","3","2500","0.431975245475769","1.42308306694031","0"
"gated","3","3750","0.41925922036171","1.4218897819519","0"
"gated","3","5000","0.435864210128784","1.39613652229309","0"
"gated","3","6250","0.450123518705368","1.35451769828796","0"
"gated","3","7500","0.450061708688736","1.3547511100769","0"
"gated","3","8750","0.462222278118134","1.31652545928955","0"
"gated","3","10000","0.462098777294159","1.31815409660339","0"
"gated","4","1250","0.426481544971466","1.45965182781219","0"
"gated","4","2500","0.325987666845322","3.02871513366699","0"
"gated","4","3750","0.428703755140305","1.42455303668976","0"
"gated","4","5000","0.436419725418091","1.41682314872742","0"
"gated","4","6250","0.442037016153336","1.39769220352173","0"
"gated","4","7500","0.448518574237823","1.38569104671478","0"
"gated","4","8750","0.447036981582642","1.38131785392761","0"
"gated","4","10000","0.450370371341705","1.37530589103699","0"
"parammatched","0","1250","0.422716051340103","1.46655011177063","0"
"parammatched","0","2500","0.434074103832245","1.42617702484131","0"
"parammatched","0","3750","0.43388894200325","1.41278171539307","0"
"parammatched","0","5000","0.43956783413887","1.38198947906494","0"
"parammatched","0","6250","0.452160477638245","1.34992432594299","0"
"parammatched","0","7500","0.456666678190231","1.33693742752075","0"
"parammatched","0","8750","0.461481481790543","1.32541286945343","0"
"parammatched","0","10000","0.465000003576279","1.31458759307861","0"
"parammatched","1","1250","0.425493836402893","1.46893799304962","0"
"parammatched","1","2500","0.389691352844238","1.60399687290192","0"
"parammatched","1","3750","0.429135710000992","1.41661441326141","0"
"parammatched","1","5000","0.436419785022736","1.40336620807648","0"
"parammatched","1","6250","0.442654311656952","1.39118254184723","0"
"parammatched","1","7500","0.447469025850296","1.3885406255722","0"
"parammatched","1","8750","0.450308680534363","1.37918651103973","0"
"parammatched","1","10000","0.449629634618759","1.3758829832077","0"
"parammatched","2","1250","0.426358073949814","1.46414935588837","0"
"parammatched","2","2500","0.382716089487076","1.58897185325623","0"
"parammatched","2","3750","0.427407503128052","1.44243383407593","0"
"parammatched","2","5000","0.440432041883469","1.3914760351181","0"
"parammatched","2","6250","0.435617297887802","1.37243962287903","0"
"parammatched","2","7500","0.444506138563156","1.35727548599243","0"
"parammatched","2","8750","0.448271632194519","1.35070419311523","0"
"parammatched","2","10000","0.451419830322266","1.34208285808563","0"
"parammatched","3","1250","0.424876570701599","1.50699460506439","0"
"parammatched","3","2500","0.428271561861038","1.4488422870636","0"
"parammatched","3","3750","0.439506143331528","1.39878082275391","0"
"parammatched","3","5000","0.443456798791885","1.38415253162384","0"
"parammatched","3","6250","0.442283928394318","1.37801837921143","0"
"parammatched","3","7500","0.45043209195137","1.35867726802826","0"
"parammatched","3","8750","0.450864225625992","1.35243821144104","0"
"parammatched","3","10000","0.449382692575455","1.35095036029816","0"
"parammatched","4","1250","0.433641999959946","1.44802510738373","0"
"parammatched","4","2500","0.430246859788895","1.42828738689423","0"
"parammatched","4","3750","0.432160556316376","1.40563464164734","0"
"parammatched","4","5000","0.440246999263763","1.38676714897156","0"
"parammatched","4","6250","0.448888897895813","1.37768995761871","0"
"parammatched","4","7500","0.44913586974144","1.38630390167236","0"
"parammatched","4","8750","0.453086405992508","1.35614502429962","0"
"parammatched","4","10000","0.45598766207695","1.34973621368408","0"
"vanilla","0","1250","0.425061762332916","1.45978331565857","0"
"vanilla","0","2500","0.385432153940201","1.55821061134338","0"
"vanilla","0","3750","0.432777762413025","1.40751957893372","0"
"vanilla","0","5000","0.417654305696487","1.45462810993195","0"
"vanilla","0","6250","0.446913689374924","1.3717257976532","0"
"vanilla","0","7500","0.456296324729919","1.35882830619812","0"
"vanilla","0","8750","0.455185174942017","1.34905421733856","0"
"vanilla","0","10000","0.455246895551682","1.34489440917969","0"
"vanilla","1","1250","0.416975319385529","1.47405529022217","0"
"vanilla","1","2500","0.425246953964233","1.50658798217773","0"
"vanilla","1","3750","0.436543315649033","1.38466334342957","0"
"vanilla","1","5000","0.444135755300522","1.36766040325165","0"
"vanilla","1","6250","0.455555528402328","1.34116327762604","0"
"vanilla","1","7500","0.461481511592865","1.316770195961","0"
"vanilla","1","8750","0.471728414297104","1.27765500545502","0"
"vanilla","1","10000","0.473518401384354","1.26238703727722","0"
"vanilla","2","1250","0.420246839523315","1.49430632591248","0"
"vanilla","2","2500","0.428765386343002","1.44700312614441","0"
"vanilla","2","3750","0.438395082950592","1.40945315361023","0"
"vanilla","2","5000","0.445185154676437","1.38926386833191","0"
"vanilla","2","6250","0.441419839859009","1.41315603256226","0"
"vanilla","2","7500","0.452160477638245","1.36736285686493","0"
"vanilla","2","8750","0.450925946235657","1.36291515827179","0"
"vanilla","2","10000","0.456543117761612","1.35354578495026","0"
"vanilla","3","1250","0.418765425682068","1.50840103626251","0"
"vanilla","3","2500","0.388148128986359","1.54950296878815","0"
"vanilla","3","3750","0.426790207624435","1.41156387329102","0"
"vanilla","3","5000","0.443148076534271","1.38152360916138","0"
"vanilla","3","6250","0.440308600664139","1.38372373580933","0"
"vanilla","3","7500","0.446728348731995","1.35610139369965","0"
"vanilla","3","8750","0.451049298048019","1.34469151496887","0"
"vanilla","3","10000","0.451357930898666","1.34263730049133","0"
"vanilla","4","1250","0.425432115793228","1.46619474887848","0"
"vanilla","4","2500","0.396111041307449","1.54315745830536","0"
"vanilla","4","3750","0.397716104984283","1.51481318473816","0"
"vanilla","4","5000","0.427654385566711","1.45317232608795","0"
"vanilla","4","6250","0.431975275278091","1.44154667854309","0"
"vanilla","4","7500","0.445061713457108","1.40988278388977","0"
"vanilla","4","8750","0.456049352884293","1.36817514896393","0"
"vanilla","4","10000","0.456666707992554","1.36093306541443","0"
